Council name,Contest Name,First Name,Surname,Party Description,
Aberdeenshire Council,Banchory and Mid Deeside Ward,Eileen,DURNO,Scottish National Party (SNP),
Aberdeenshire Council,Banchory and Mid Deeside Ward,Iain,GILLIES,Scottish Labour Party,
Aberdeenshire Council,Banchory and Mid Deeside Ward,Ann,ROSS,Scottish Conservative and Unionist,
Aberdeenshire Council,North Kincardine Ward,William Patrick,BALL,Scottish Green Party,
Aberdeenshire Council,North Kincardine Ward,Alastair,BEWS,Scottish National Party (SNP),
Aberdeenshire Council,North Kincardine Ward,Alison Elizabeth McBean,EVISON,Scottish Labour Party,
Aberdeenshire Council,North Kincardine Ward,David Michael,LANSDELL,Social Democratic Party Scotland,
Aberdeenshire Council,North Kincardine Ward,Ian James,MOLLISON,Scottish Liberal Democrats,
Aberdeenshire Council,North Kincardine Ward,Colin,PIKE,Scottish Conservative and Unionist,
Aberdeenshire Council,North Kincardine Ward,Kes,SMITH,Scottish National Party (SNP),
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Wendy,AGNEW,Scottish Conservative and Unionist,
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Philip,BISHOP,Independent,
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Raymond James,CHRISTIE,Scottish Labour Party,
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Sarah,DICKINSON,Scottish Liberal Democrats,
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Dennis,ROBERTSON,Scottish National Party (SNP),
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Rachel,SHANKS,Scottish Green Party,
Aberdeenshire Council,Stonehaven and Lower Deeside Ward,Sandy,WALLACE,Scottish Conservative and Unionist,
Aberdeenshire Council,Mearns Ward,Karen,ALLAN,Scottish Green Party,
Aberdeenshire Council,Mearns Ward,George,CARR,Scottish Conservative and Unionist,
Aberdeenshire Council,Mearns Ward,Patrick,COFFIELD,Scottish Labour Party,
Aberdeenshire Council,Mearns Ward,Bill,HOWATSON,Scottish Liberal Democrats,
Aberdeenshire Council,Mearns Ward,Jeff,HUTCHISON,Scottish Conservative and Unionist,
Aberdeenshire Council,Mearns Ward,Dave,STEWART,Independent,
Aberdeenshire Council,Mearns Ward,Leigh,WILSON,Scottish National Party (SNP),
Aberdeenshire Council,Mearns Ward,Carole,WISE,Scottish National Party (SNP),
116,,,,,
Angus Council,Kirriemuir and Dean Ward,Julie,BELL,Scottish National Party (SNP),
Angus Council,Kirriemuir and Dean Ward,Jeanette,GAUL,Scottish National Party (SNP),
Angus Council,Kirriemuir and Dean Ward,Angus ,MACMILLAN DOUGLAS,Scottish Conservative and Unionist,
Angus Council,Kirriemuir and Dean Ward,Liz,PETRIE,Scottish Liberal Democrats,
Angus Council,Kirriemuir and Dean Ward,Ronnie,PROCTOR,Scottish Conservative and Unionist,
Angus Council,Kirriemuir and Dean Ward,Gordon,WATSON,Scottish Labour Party ,
Angus Council,Brechin and Edzell Ward,Alison,ANDREWS,Scottish Liberal Democrats,
Angus Council,Brechin and Edzell Ward,Kenny,BRAES,Scottish National Party (SNP),
Angus Council,Brechin and Edzell Ward,Bob,MYLES,Independent,
Angus Council,Brechin and Edzell Ward,Gavin,NICOL,Scottish Conservative and Unionist,
Angus Council,Brechin and Edzell Ward,Jill,SCOTT,Independent,
Angus Council,Brechin and Edzell Ward,Marjory,SMITH,Labour and Co-operative Party,
Angus Council,Brechin and Edzell Ward,Paul Ambrose,WRIGHT,Scottish National Party (SNP),
Angus Council,Forfar and District Ward,Glen ,BARCLAY,Scottish Liberal Democrats ,
Angus Council,Forfar and District Ward,Colin,BROWN,Independent,
Angus Council,Forfar and District Ward,Braden,DAVY,Scottish Conservative and Unionist,
Angus Council,Forfar and District Ward,Lynne,DEVINE,Scottish National Party (SNP),
Angus Council,Forfar and District Ward,Ed,MCADAM,Scottish Labour Party ,
Angus Council,Forfar and District Ward,Ian,MCLAREN,Independent,
Angus Council,Forfar and District Ward,Glennis,MIDDLETON,Scottish National Party (SNP),
Angus Council,Forfar and District Ward,Ian,WHYTE,Independent,
Angus Council,Monifieth and Sidlaw Ward,Craig,FOTHERINGHAM,Scottish Conservative and Unionist ,
Angus Council,Monifieth and Sidlaw Ward,Sheila,HANDS,Scottish National Party (SNP),
Angus Council,Monifieth and Sidlaw Ward,Ben,LAWRIE,Scottish Liberal Democrats,
Angus Council,Monifieth and Sidlaw Ward,Ray,STRACHAN,Scottish Labour Party ,
Angus Council,Monifieth and Sidlaw Ward,Beth,WHITESIDE,Scottish National Party (SNP),
Angus Council,Carnoustie and District Ward,Bill,BOWLES,Independent,
Angus Council,Carnoustie and District Ward,Brian David ,BOYD,Independent,
Angus Council,Carnoustie and District Ward,David,CHEAPE,Independent,
Angus Council,Carnoustie and District Ward,Mark James,MCDONALD,Scottish National Party (SNP),
Angus Council,Carnoustie and District Ward,Joanne,MCFADDEN,Scottish Labour Party,
Angus Council,Carnoustie and District Ward,Beth,MORRISON,Scottish Liberal Democrats,
Angus Council,Carnoustie and District Ward,Terry,O'HALLORAN,Scottish Conservative and Unionist,
Angus Council,"Arbroath West, Letham and Friockheim Ward",David,FAIRWEATHER,Independent ,
Angus Council,"Arbroath West, Letham and Friockheim Ward",Alex,KING,Scottish National Party (SNP),
Angus Council,"Arbroath West, Letham and Friockheim Ward",David ,LUMGAIR,Scottish Conservative and Unionist,
Angus Council,"Arbroath West, Letham and Friockheim Ward",Richard,MOORE,Scottish Liberal Democrats,
Angus Council,"Arbroath West, Letham and Friockheim Ward",Donald,MORRISON,Scottish National Party (SNP),
Angus Council,Arbroath East and Lunan Ward,Brenda,DURNO,Scottish National Party (SNP),
Angus Council,Arbroath East and Lunan Ward,John,RUDDY,Scottish Labour Party,
Angus Council,Arbroath East and Lunan Ward,KEVIN,SMITH,Independent ,
Angus Council,Arbroath East and Lunan Ward,MARK,SMITH ,Scottish Liberal Democrats,
